Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Mitsubishi,EK X PREMIUM,2023,Automatic,Hybrid,660,3500,"Rs. 8,975,000"
Mazda,Demio,2007,Automatic,Petrol,1300,166000,"Rs. 5,090,000(Ongoing Lease)"
Chery,QQ,2007,Manual,Petrol,800,85462,"Rs. 1,450,000"
Honda,Crz Mugen,2011,Automatic,Hybrid,1500,139000,"Rs. 7,350,000"
Suzuki,Alto,2011,Manual,Petrol,800,120000,"Rs. 2,975,000"
Suzuki,Alto,2015,Manual,Petrol,800,62200,"Rs. 3,910,000"
Suzuki,Maruti,2005,Manual,Petrol,800,75900,Negotiable
Suzuki,Alto K10 Vxi,2016,Manual,Petrol,1000,155000,"Rs. 4,100,000"
Mazda,Luce,1969,Manual,Petrol,1500,75000,"Rs. 480,000"
Nissan,March K11,2001,Automatic,Petrol,1000,183000,"Rs. 2,650,000"
Suzuki,Alto,2016,Manual,Petrol,800,100000,"Rs. 3,725,000"
Suzuki,Aerio,2007,Automatic,Petrol,1500,1119000,"Rs. 4,390,000"
Toyota,Aqua S Grade,2013,Automatic,Hybrid,1500,125000,"Rs. 7,590,000"
Toyota,Corolla 121,2000,Automatic,Petrol,1490,192918,"Rs. 5,990,000"
Honda,NBox Custom,2025,Automatic,Petrol,660,0,"Rs. 11,500,000"
Suzuki,Spacia,2016,Automatic,Petrol,660,142000,"Rs. 6,250,000(Ongoing Lease)"
Peugeot,203,1956,Manual,Petrol,1300,25000,"Rs. 3,650,000"
Toyota,Elephant Back EE104,2020,Automatic,Petrol,1500,3212,"Rs. 3,495,000"
Peugeot,306,1996,Manual,Petrol,1360,146086,"Rs. 1,450,000"
Honda,Fit Shuttle Gp2,2012,Automatic,Hybrid,1330,136000,Negotiable
Toyota,Carina TI 212,2008,Automatic,Petrol,1500,195000,Negotiable
Suzuki,Alto,2016,Manual,Petrol,800,76000,"Rs. 3,750,000"
Toyota,Allion,2017,Automatic,Petrol,1500,108000,"Rs. 15,500,000"
Mitsubishi,Lancer Box,1983,Manual,Petrol,1400,80924,"Rs. 1,950,000"
Toyota,Sprinter Vintage,1997,Manual,Diesel,2,220000,"Rs. 3,450,000"
Toyota,Premio,2019,Automatic,Petrol,1500,79000,Negotiable
Daihatsu,Mira Safety,2023,Automatic,Petrol,660,16000,"Rs. 7,090,000"
Daihatsu,Mira,2017,Automatic,Petrol,650,56131,"Rs. 6,375,000"
Toyota,AQUA,2015,Automatic,Hybrid,1500,136000,"Rs. 8,975,000"
Suzuki,Wagon R Fx,2018,Automatic,Hybrid,650,48000,"Rs. 6,390,000"
Audi,A4 Premium,2017,Automatic,Petrol,1400,19000,Negotiable
Toyota,VITZ KSP130,2017,Automatic,Petrol,1000,65000,"Rs. 8,450,000"
Mini,Cooper,0,Manual,Petrol,1300,80000,Negotiable
BMW,520D,2012,Automatic,Diesel,2000,70000,"Rs. 23,000,000"
Toyota,Premio,2010,Automatic,Petrol,1490,260000,"Rs. 10,500,000"
Kia,Rio RS,2005,Manual,Petrol,1598,112000,"Rs. 2,195,000"
Suzuki,Wagon R Stingray,2015,Automatic,Hybrid,650,110000,"Rs. 6,125,000"
Suzuki,Swift,2002,Automatic,Petrol,1300,184000,"Rs. 4,090,000"
Suzuki,Swift,2009,Automatic,Petrol,1300,125400,"Rs. 6,025,000"
Suzuki,Swift,2003,Automatic,Petrol,1300,175000,"Rs. 4,200,000"
Suzuki,Spacia,2017,Automatic,Hybrid,650,89121,"Rs. 7,390,000"
Suzuki,Maruti,2000,Manual,Petrol,800,128000,"Rs. 1,600,000"
Toyota,Vitz,2017,Automatic,Petrol,1000,83000,"Rs. 8,450,000"
Toyota,Vitz,2016,Automatic,Petrol,1000,120000,Negotiable
Honda,Fit GP1,2012,Automatic,Petrol,1300,160000,"Rs. 6,500,000"
Nissan,AD Wagon,1999,Manual,Petrol,1490,-,Negotiable
Volkswagen,PASSAT TSI 1.4L,2008,Automatic,Petrol,1400,76000,"Rs. 7,890,000"
Suzuki,Maruti,1995,Manual,Petrol,800,98000,Negotiable
Suzuki,Alto Japan,2004,Automatic,Petrol,650,132000,Negotiable
Hyundai,Matrix,2000,Automatic,Petrol,1499,220000,"Rs. 2,250,000"
Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,650,58100,"Rs. 7,575,000"
Mitsubishi,Lancer Cs1 Glx,2008,Automatic,Petrol,1300,154836,"Rs. 6,590,000"
Toyota,Premio 260,2014,Automatic,Petrol,1500,147000,"Rs. 13,550,000"
Daihatsu,Mira,2023,Automatic,Petrol,660,2300,"Rs. 6,950,000"
Suzuki,Swift RS Turbo,2017,Automatic,Petrol,1000,90000,"Rs. 9,350,000"
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,3769,"Rs. 8,190,000"
Suzuki,Wagon R FZ Safety,2018,Automatic,Hybrid,-,94000,"Rs. 7,100,000"
Toyota,Vitz KSP130,2018,Automatic,Petrol,1000,90,Negotiable
Toyota,ROOMY GT CUSTOM TURBO,2023,Automatic,Petrol,1000,35000,"Rs. 12,390,000"
