Site,Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
ikman.lk,Suzuki,A-Star,,2012,Automatic,Petrol,Hatchback,1000,"173,000.00"," 4,330,000.00 ",Yes, 25.03 
ikman.lk,Honda,CRV,,2018,Automatic,Petrol,SUV,1500,"150,000.00"," 18,800,000.00 ",Yes, 125.33 
ikman.lk,Toyota,Raize,Z Grade,2023,Automatic,Hybrid,Crossover,1200,"1,000.00"," 15,600,000.00 ",No," 15,600.00 "
ikman.lk,MG ,ZS,,2019,Automatic,Petrol,Crossover,1000,"87,100.00"," 10,595,000.00 ",Yes, 121.64 
ikman.lk,Mercedes Benz,CLA 200,AMG Line,2019,Automatic,Petrol,Saloon,1300,"42,000.00"," 27,400,000.00 ",Yes, 652.38 
ikman.lk,Toyota ,Land Cruiser Sahara,LC 300 Facelift,2008,Triptonic,Petrol,SUV,4200,"124,000.00"," 43,000,000.00 ",Yes, 346.77 
ikman.lk,Honda,Civic,FK7,2017,Automatic,Petrol,Saloon,1500,"110,000.00"," 13,700,000.00 ",No, 124.55 
ikman.lk,Nissan ,X-Trail,,2015,Automatic,Petrol,Crossover,1990,"182,000.00"," 11,800,000.00 ",No, 64.84 
ikman.lk,Nissan ,Dayz,Highway Star X,2023,Automatic,Petrol,Hatchback,660,"3,000.00"," 8,600,000.00 ",No," 2,866.67 "
ikman.lk,Kia,Sorento,,2012,Automatic,Diesel,SUV,2190,"142,000.00"," 14,350,000.00 ",Yes, 101.06 
ikman.lk,Hyundai,Accent,Jet Black,2005,Manual,Petrol,Saloon,1500,"168,000.00"," 2,590,000.00 ",Yes, 15.42 
ikman.lk,Toyota ,Vitz,,2016,Automatic,Petrol,Hatchback,1000,"73,000.00"," 7,875,000.00 ",No, 107.88 
ikman.lk,Toyota,Starlet,,1998,Manual,Petrol,Hatchback,1000,"150,000.00"," 1,300,000.00 ",No, 8.67 
ikman.lk,Ford,Mustang,EcoBoost Fastback,2025,Automatic,Petrol,Coupe,2300,0," 53,900,000.00 ",No,#DIV/0!
ikman.lk,Suzuki,Wagon R ,Stingray,2024,Automatic,Hybrid,Hatchback,660,10," 8,700,000.00 ",Yes," 870,000.00 "
ikman.lk,Honda,Vezel,Z Grade,2016,Triptonic,Hybrid,Crossover,1500,"211,713.00"," 11,500,000.00 ",Yes, 54.32 
ikman.lk,Toyota ,Yaris,X Grade,2023,Automatic,Petrol,Hatchback,1000,"14,000.00"," 10,700,000.00 ",Yes, 764.29 
ikman.lk,Mercedes Benz,E200 ,Cabriolet,2018,Triptonic,Petrol,Convertible ,2000,"12,500.00"," 42,500,000.00 ",Yes," 3,400.00 "
ikman.lk,Toyota,Premio ,G Superior,2019,Automatic,Petrol,Saloon,1490,"57,000.00"," 19,000,000.00 ",Yes, 333.33 
ikman.lk,Lexus,LX600,Max Loaded,2024,Automatic,Petrol,SUV,3500,460," 145,000,000.00 ",Yes," 315,217.39 "
ikman.lk,Toyota ,Corolla ,DX Wagon,1984,Manual,Petrol,Station Wagon,1300,"100,000.00"," 865,000.00 ",Yes, 8.65 
ikman.lk,Toyota,Axio,X Grade,2014,Automatic,Petrol,Saloon,1500,"140,000.00"," 7,995,000.00 ",No, 57.11 
