Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
BMW,520d,2012,Automatic,Diesel,2000,70000,21000000
Nissan,Ad Wagon,1997,Manual,Petrol,1300,180000,2425000
Suzuki,Maruti Zen,1995,Manual,Petrol,1000,12345,1475000
Hyundai,Accent,2012,Automatic,Petrol,1600,135000,6975000
Suzuki,Alto,2015,Manual,Petrol,800,80000,3850000
Toyota,PRIUS 4TH GEN,2016,Automatic,Hybrid,1800,78000,15500000
Suzuki,Wagon R Fz,2017,Automatic,Petrol,660,98500,6650000
Suzuki,Maruti,2010,Manual,Petrol,800,93000,2195000
Honda,Fit GP1,2011,Automatic,Petrol,1330,127000,6650000
Mitsubishi,Lancer Box,1984,Manual,Petrol,1400,186500,895000
Toyota,Corona AT140,1983,Manual,Diesel,2000,147000,875000
Toyota,Vitz,2008,Automatic,Petrol,1000,109000,5590000
Perodua,Viva Elite Amiezt,2012,Automatic,Petrol,1000,138300,4325000
Kia,Cerato,2010,Automatic,Petrol,1600,152000,5550000
Toyota,Vitz,2016,Automatic,Petrol,1000,84200,7850000
Daihatsu,Boon,2008,Automatic,Petrol,1000,128000,4725000
Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,650,98000,7550000
Toyota,Corolla,1990,Manual,Petrol,1300,20000,1650000
Toyota,Camry G,2010,Automatic,Petrol,2400,162000,9250000
Mitsubishi,Lancer Wagon,1979,Manual,Petrol,1400,11111,500000
Nissan,March K11,1997,Automatic,Petrol,990,187000,1350000
Nissan,N16 Bluebird Sylphy,2001,Automatic,Petrol,1800,253000,4450000
Toyota,Carina,1995,Automatic,Petrol,1500,180000,3150000
Suzuki,Alto,2017,Manual,Petrol,800,130000,4090000
Toyota,Vitz Safety,2016,Automatic,Petrol,1000,91500,7750000
Toyota,Vitz Safety Edition,2017,Automatic,Petrol,1000,119000,8250000
Nissan,FB15 Super Saloon Splend,2000,Automatic,Petrol,1500,187700,4275000
Nissan,B211,1979,Manual,Petrol,1490,186325,775000
Datsun,Redi-GO,2017,Manual,Petrol,800,75123,3125000
Suzuki,Wagon R Stingray,2018,Automatic,Petrol,660,42000,7450000
Suzuki,Alto Japan,2018,Automatic,Hybrid,650,88750,5675000
Suzuki,Maruti,2006,Manual,Petrol,800,103860,1900000
Toyota,Axio,2014,Automatic,Petrol,1500,175000,9825000
Suzuki,Wagon R FZ PREMIUM,2018,Automatic,Hybrid,660,88000,7075000
Mitsubishi,Lancer,1985,Manual,Petrol,1400,50000,610000
Nissan,Cefiro J31,2007,Automatic,Petrol,2350,167000,7400000
Suzuki,Wagon R Stingray CBB,2018,Automatic,Hybrid,650,49000,7490000
Nissan,March K10,1988,Manual,Diesel,1500,100000,1175000
Honda,Grace EX Sensing,2017,Automatic,Petrol,1500,85000,12200000
Toyota,Platz,2000,Manual,Petrol,1300,195000,2795000
Suzuki,Swift Ignis,2004,Automatic,Petrol,1300,130000,4275000
Toyota,Prius,2013,Automatic,Hybrid,1800,195000,11050000
Toyota,Carina 192,1995,Manual,Petrol,1490,250000,3475000
Perodua,Viva Elite,2013,Automatic,Petrol,1000,48106,4875000
Suzuki,Alto Lxi,2016,Manual,Petrol,800,85000,3910000
Toyota,KE50,1974,Manual,Petrol,1300,100000,895000
